year,line_number,line_desc,value,table_label,table_name,source
1929,1,Government fixed assets,1.87,govt_net_chain,FAAt602,SEED
1929,2,National defense,1.0,govt_net_chain,FAAt602,SEED
1929,6,Nondefense,2.0,govt_net_chain,FAAt602,SEED
1930,1,Government fixed assets,1.93,govt_net_chain,FAAt602,SEED
1930,2,National defense,1.18,govt_net_chain,FAAt602,SEED
1930,6,Nondefense,2.04,govt_net_chain,FAAt602,SEED
1931,1,Government fixed assets,1.99,govt_net_chain,FAAt602,SEED
1931,2,National defense,1.4,govt_net_chain,FAAt602,SEED
1931,6,Nondefense,2.08,govt_net_chain,FAAt602,SEED
1932,1,Government fixed assets,2.06,govt_net_chain,FAAt602,SEED
1932,2,National defense,1.66,govt_net_chain,FAAt602,SEED
1932,6,Nondefense,2.13,govt_net_chain,FAAt602,SEED
1933,1,Government fixed assets,2.14,govt_net_chain,FAAt602,SEED
1933,2,National defense,1.97,govt_net_chain,FAAt602,SEED
1933,6,Nondefense,2.17,govt_net_chain,FAAt602,SEED
1934,1,Government fixed assets,2.23,govt_net_chain,FAAt602,SEED
1934,2,National defense,2.33,govt_net_chain,FAAt602,SEED
1934,6,Nondefense,2.21,govt_net_chain,FAAt602,SEED
1935,1,Government fixed assets,2.34,govt_net_chain,FAAt602,SEED
1935,2,National defense,2.76,govt_net_chain,FAAt602,SEED
1935,6,Nondefense,2.26,govt_net_chain,FAAt602,SEED
1936,1,Government fixed assets,2.47,govt_net_chain,FAAt602,SEED
1936,2,National defense,3.27,govt_net_chain,FAAt602,SEED
1936,6,Nondefense,2.31,govt_net_chain,FAAt602,SEED
1937,1,Government fixed assets,2.62,govt_net_chain,FAAt602,SEED
1937,2,National defense,3.87,govt_net_chain,FAAt602,SEED
1937,6,Nondefense,2.35,govt_net_chain,FAAt602,SEED
1938,1,Government fixed assets,2.8,govt_net_chain,FAAt602,SEED
1938,2,National defense,4.59,govt_net_chain,FAAt602,SEED
1938,6,Nondefense,2.4,govt_net_chain,FAAt602,SEED
