"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1925,100,2,65,2.8,3.64,"RC",102.8,50,0.238095238095238,420,15.288,11.76,431.76
1926,105.74,2.11,68.46,2.96,8.7,"RC",108.7,50.1137440758294,0.238636876551569,443.1,36.4570644978248,12.4037828636278,455.503782863628
1927,111.8,2.24,72.11,3.13,9.2,"RC",114.93,49.9107142857143,0.237670068027211,470.4,38.7091234347048,13.1695169946333,483.569516994633
1928,118.22,2.36,75.95,3.31,9.72,"RC",121.53,50.0932203389831,0.238539144471348,495.6,40.7480290982913,13.8761292505498,509.47612925055
1929,125,2.5,80,3.5,4.2,"RC",128.5,50,0.238095238095238,525,17.64,14.7,539.7
1930,116.04,2.48,77.93,3.25,0.1,"RC",119.29,46.7903225806452,0.222811059907834,520.8,0.448810754912099,14.5863495346432,535.386349534643
1931,107.72,2.46,75.92,3.02,0.1,"RC",110.74,43.7886178861789,0.208517228029423,516.6,0.479576680282213,14.4832157445228,531.083215744523
1932,100,2.44,73.96,2.8,0.1,"RC",102.8,40.9836065573771,0.195160031225605,512.4,0.5124,14.3472,526.7472
1933,92.83,2.43,72.05,2.6,0.1,"RC",95.43,38.201646090535,0.181912600431119,510.3,0.549714531940106,14.2925778304427,524.592577830443
1934,86.18,2.41,70.19,2.41,0.1,"RC",88.59,35.7593360995851,0.170282552855167,506.1,0.587259224878162,14.1529473195637,520.252947319564
1935,80,2.39,68.38,2.24,0.1,"RC",82.24,33.4728033472803,0.159394301653716,501.9,0.627375,14.0532,515.9532
1936,80.98,2.37,66.62,2.27,3.25,"RC",83.25,34.168776371308,0.162708458910991,497.7,19.9743763892319,13.9513336626327,511.651333662633
1937,81.96,2.35,64.9,2.29,3.28,"RC",84.25,34.8765957446808,0.166079027355623,493.5,19.7496339677892,13.788616398243,507.288616398243
1938,82.96,2.34,63.22,2.32,3.32,"RC",85.28,35.4529914529915,0.168823768823769,491.4,19.6654773384764,13.7421407907425,505.142140790742
1939,83.98,2.32,61.59,2.35,3.36,"RC",86.33,36.198275862069,0.172372742200328,487.2,19.492641105025,13.633246010955,500.833246010955
1940,85,2.3,60,2.38,3.4,"RC",87.38,36.9565217391304,0.175983436853002,483,19.32,13.524,496.524
