"year","K_net_cc","K_gross_cc","K_net_real","K_gross_real","K_net_hist","IG_cc","IG_real","D_cc","D_real","K_net_chain","asset","p_K"
1929,336,353.62,1122.8,1167.042,235,21.15,53.10625,17.62,44.242,7.75,"TOTAL_ALL",0.29925187032419
1930,314.93,331.43,1111.38,1155.16692099202,229.54,4.16,5.2275581903399,16.5,43.7869209920168,7.67,"TOTAL_ALL",0.283368424841188
1931,295.24,310.7,1099.96,1143.33811464572,224.22,3.93,5.24261425440309,15.46,43.3781146457154,7.59,"TOTAL_ALL",0.268409760354922
1932,276.84,291.32,1089.89,1132.82199885266,219.04,3.72,5.25472556879482,14.48,42.9319988526608,7.52,"TOTAL_ALL",0.254007285138867
1933,259.63,273.22,1080.85,1123.4843773391,213.98,3.54,5.34237951483509,13.59,42.6343773391026,7.46,"TOTAL_ALL",0.240209094693991
1934,243.55,256.29,1069.43,1111.59747635946,209.05,3.36,5.36535365991929,12.74,42.1674763594636,7.38,"TOTAL_ALL",0.227738140878786
1935,228.51,240.47,1059.36,1101.13674273504,204.25,3.2,5.38925031029357,11.96,41.7767427350427,7.31,"TOTAL_ALL",0.215705709107386
1936,230.34,242.47,1048.41,1089.83316578227,199.57,13.96,48.8120316558119,12.13,41.4231657822686,7.24,"TOTAL_ALL",0.219704123386843
1937,232.2,244.49,1038.34,1079.32075545975,195.01,14.16,48.3006153402206,12.29,40.9807554597522,7.17,"TOTAL_ALL",0.223626172544639
1938,234.1,246.56,1030.65,1071.35564598555,190.56,14.36,47.9827259828145,12.46,40.7056459855477,7.12,"TOTAL_ALL",0.227138213748605
1939,236.04,248.68,1019.23,1059.50211066717,186.23,14.57,47.47185264194,12.64,40.2721106671673,7.04,"TOTAL_ALL",0.231586589876672
1940,238,250.82,1009.16,1049.0445,182,14.78,47.0067941176471,12.82,39.8845,6.97,"TOTAL_ALL",0.235839708272226
1941,245.42,258.72,1087.32,1130.33544765063,190.46,20.72,74.4608668608239,13.3,43.0154476506285,7.51,"TOTAL_ALL",0.225710922267594
1942,253.08,266.86,1170.94,1217.29338416839,199.31,21.45,80.2564484583561,13.78,46.3533841683917,8.09,"TOTAL_ALL",0.216134046150956
1943,261.01,275.29,1259.64,1309.52862499269,208.6,22.21,86.4029466874005,14.28,49.8886249926867,8.71,"TOTAL_ALL",0.207209996506938
1944,269.19,284.02,1357.53,1411.34102340622,218.31,23.02,93.172742441536,14.83,53.8110234062231,9.38,"TOTAL_ALL",0.198293960354467
1945,277.66,293.04,1460.97,1518.94881060071,228.48,23.85,100.37206514775,15.38,57.9788106007067,10.1,"TOTAL_ALL",0.190051814890107
1946,310.8,327.92,1573.13,1635.65473651562,239.13,50.27,236.451451287236,17.12,62.5247365156166,10.88,"TOTAL_ALL",0.197567906021753
1947,348.05,367.1,1694.76,1762.06591358739,250.29,56.29,254.77015777111,19.05,67.3059135873877,11.72,"TOTAL_ALL",0.205368311737355
1948,389.91,411.13,1824.23,1896.80690353695,261.96,63.09,274.524712738833,21.22,72.5769035369513,12.62,"TOTAL_ALL",0.213739495567993
1949,437,460.64,1965.87,2044.16046977372,274.19,70.74,296.107921359277,23.64,78.2904697737236,13.6,"TOTAL_ALL",0.222293437511127
1950,490,516.34,2116.7,2201.0625,287,79.34,319.024611111111,26.34,84.3625,14.65,"TOTAL_ALL",0.231492417442245
1951,536.36,564.92,2239.96,2329.29248949645,308.73,74.92,290.298811687719,28.56,89.3324894964541,15.51,"TOTAL_ALL",0.239450704476866
1952,587.3,618.28,2370.59,2465.18490861714,332.18,81.92,307.330697669045,30.98,94.5949086171356,16.42,"TOTAL_ALL",0.247744232448462
1953,643.3,676.91,2508.87,2609.05286288994,357.47,89.62,325.436042528011,33.61,100.182862889942,17.39,"TOTAL_ALL",0.256410256410256
1954,704.89,741.37,2656.34,2762.44924447704,384.76,98.07,344.718402496582,36.48,106.109244477035,18.41,"TOTAL_ALL",0.265361361873857
1955,772.65,812.26,2812.06,2924.47365,414.24,107.37,365.060779846997,39.61,112.41365,19.5,"TOTAL_ALL",0.274762985142565
1956,826.1,868.31,2974.55,3093.63442495518,446.07,95.66,313.914366057358,42.21,119.084424955183,20.65,"TOTAL_ALL",0.277722680741625
1957,883.28,928.27,3150.84,3277.04335250787,480.43,102.17,332.573924140422,44.99,126.203352507874,21.88,"TOTAL_ALL",0.280331594114585
1958,944.47,992.42,3332.87,3466.50260678949,517.55,109.14,351.983670230892,47.95,133.632606789493,23.16,"TOTAL_ALL",0.283380389874193
1959,1009.93,1061.04,3529.45,3671.049784788,557.66,116.58,372.83017978428,51.11,141.599784788002,24.54,"TOTAL_ALL",0.286143733442888
1960,1080,1134.49,3735.5,3885.5625,601,124.56,394.877054740608,54.49,150.0625,26,"TOTAL_ALL",0.289117922634186
1961,1145.7,1203.71,3932.21,4090.37899195021,635.74,123.71,379.926239705363,58.01,158.168991950214,27.4,"TOTAL_ALL",0.29136287227793
1962,1215.45,1277.19,4139.27,4305.80617108087,672.51,131.49,400.00980530306,61.74,166.536171080868,28.86,"TOTAL_ALL",0.293638733399851
1963,1289.51,1355.26,4357.9,4533.53892506573,711.42,139.81,421.482467644329,65.75,175.63892506573,30.43,"TOTAL_ALL",0.295901695770899
1964,1368.13,1438.12,4586.88,4771.85269219014,752.56,148.62,443.767008940648,69.99,184.972692190138,32.06,"TOTAL_ALL",0.298270283940282
1965,1451.62,1526.16,4828.78,5023.76406840607,796.12,158.03,467.491776213743,74.54,194.984068406072,33.79,"TOTAL_ALL",0.300618375655963
1966,1556.85,1637.01,5083.13,5288.61968140474,842.21,185.38,545.737200909425,80.16,205.489681404742,35.61,"TOTAL_ALL",0.306277824883487
1967,1669.7,1755.9,5351.75,5568.36346991862,890.97,199.08,574.89010905482,86.2,216.613469918619,37.54,"TOTAL_ALL",0.311991404680712
1968,1790.8,1883.5,5633.29,5861.6096597615,942.59,213.76,605.42554765111,92.7,228.319659761501,39.57,"TOTAL_ALL",0.317895936477618
1969,1920.66,2020.33,5930.13,6170.82296841006,997.2,229.54,637.724867150532,99.67,240.692968410058,41.72,"TOTAL_ALL",0.323881601246516
1970,2060,2167.2,6244.5,6498.3375,1055,246.54,672.01854822298,107.2,253.8375,44,"TOTAL_ALL",0.329890303467051
1971,2293.64,2412.04,6593.08,6861.74447587707,1154.31,352.04,950.284205477516,118.4,268.664475877068,46.54,"TOTAL_ALL",0.347885965284814
1972,2554.2,2685.01,6961.63,7246.16959777584,1263.08,391.37,1004.49990864616,130.81,284.539597775842,49.25,"TOTAL_ALL",0.366896833069267
1973,2844.81,2989.34,7351.03,7652.28403162901,1382.24,435.12,1061.69174005771,144.53,301.254031629007,52.11,"TOTAL_ALL",0.386994747674816
1974,3168.97,3328.69,7765.35,8084.57769620864,1512.78,483.88,1122.80395544903,159.72,319.227696208641,55.18,"TOTAL_ALL",0.408091071233106
1975,3530.62,3707.14,8199.17,8537.27604350037,1655.82,538.18,1186.83452722046,176.52,338.106043500372,58.41,"TOTAL_ALL",0.430607000464681
1976,3998.59,4198.11,8660.89,9019.19685826632,1812.54,667.48,1373.84698172226,199.52,358.306858266316,61.86,"TOTAL_ALL",0.461683499039937
1977,4528.69,4754.21,9149.16,9528.90443774391,1984.29,755.62,1452.49782969675,225.52,379.744437743915,65.52,"TOTAL_ALL",0.494984238990246
1978,5129.18,5384.13,9665.61,10068.2850860604,2172.53,855.45,1535.90706648938,254.95,402.675086060438,69.43,"TOTAL_ALL",0.530662834523636
1979,5809.41,6097.63,10210.24,10637.1791848343,2378.85,968.46,1623.9087569923,288.22,426.939184834324,73.57,"TOTAL_ALL",0.568978789920707
1980,6580,6905.85,10788,11240.91,2605,1096.44,1717.4859990676,325.85,452.91,78,"TOTAL_ALL",0.609936967000371
1981,7115.03,7468.02,11397.28,11879.82125747,2892.48,888.02,1337.36245513318,352.99,482.54125747004,82.98,"TOTAL_ALL",0.624274388275097
1982,7693.79,8076.25,12043.44,12558.0028161491,3211.93,961.21,1418.42316880351,382.46,514.562816149096,88.35,"TOTAL_ALL",0.638836578253389
1983,8319.88,8734.27,12728.86,13277.7515754827,3566.94,1040.48,1504.87493899332,414.39,548.8915754827,94.11,"TOTAL_ALL",0.653623340974761
1984,8997.21,9446.28,13455.45,14041.3436299509,3961.49,1126.4,1597.21108039257,449.07,585.893629950924,100.31,"TOTAL_ALL",0.668666599779272
1985,9730,10216.7,14227,14852.865,4400,1219.49,1696.0203809712,486.7,625.865,107,"TOTAL_ALL",0.683910873690869
1986,10335.92,10856.37,15072.4,15740.1104026807,4808.48,1126.37,1538.52146914947,520.45,667.710402680657,114.08,"TOTAL_ALL",0.68575143971763
1987,10980.29,11536.91,15972.49,16685.1845652504,5254.99,1200.99,1636.53808942513,556.62,712.694565250363,121.69,"TOTAL_ALL",0.687450109532077
1988,11665.62,12261.02,16925.41,17686.3016345319,5743.1,1280.73,1741.01373465179,595.4,760.891634531863,129.84,"TOTAL_ALL",0.689237070180279
1989,12394.58,13031.57,17938.81,18751.4659314869,6276.69,1365.95,1852.73782898067,636.99,812.655931486951,138.59,"TOTAL_ALL",0.69093657829031
1990,13170,13851.6,19014,19882.35,6860,1457.02,1972.16802777481,681.6,868.35,148,"TOTAL_ALL",0.692647522877879
1991,13668.39,14382.79,19594.03,20504.3642888188,7244.38,1212.79,1605.25400615175,714.4,910.3342888188,154.75,"TOTAL_ALL",0.697579313699122
1992,14187.54,14936.57,20204.55,21160.0391665101,7651.15,1268.18,1676.04939125935,749.03,955.489166510088,162,"TOTAL_ALL",0.702195297593859
1993,14728.46,15514.05,20838.9,21842.7222095277,8081.7,1326.52,1751.40741301913,785.59,1003.82220952769,169.75,"TOTAL_ALL",0.706777229124378
1994,15292.25,16116.49,21502.35,22558.0753774695,8537.45,1388.02,1831.89404441979,824.24,1055.72537746951,178.06,"TOTAL_ALL",0.711189707171542
1995,15880,16745.1,22200,23311.635,9020,1452.85,1918.18417108753,865.1,1111.635,187,"TOTAL_ALL",0.715315315315315
1996,16794.37,17713.3,23049.55,24223.0600792525,9575.97,1833.3,2429.88285127507,918.93,1173.51007925245,197.05,"TOTAL_ALL",0.728620298444004
1997,17763.1,18739.4,23937.96,25177.6991402676,10167.51,1945.03,2547.68756092714,976.3,1239.73914026759,207.8,"TOTAL_ALL",0.742047359089914
1998,18789.52,19827.01,24871.9,26182.7836497267,10796.97,2063.92,2673.25543840302,1037.49,1310.8836497267,219.34,"TOTAL_ALL",0.755451734688544
1999,19877.22,20979.98,25849.7,27236.8196873851,11466.9,2190.46,2806.72395633661,1102.76,1387.11968738512,231.7,"TOTAL_ALL",0.768953604877426
2000,21030,22202.4,26880,28349.175,12180,2325.18,2949.36304183609,1172.4,1469.175,245,"TOTAL_ALL",0.782366071428571
2001,22648.45,23889.77,27845.54,29372.9812622908,12950.89,2859.77,3528.76080000413,1241.32,1527.44126229078,254.55,"TOTAL_ALL",0.813360056942692
2002,24406.28,25721.55,28847.6,30435.763750184,13774.43,3073.09,3663.82074421624,1315.27,1588.16375018395,264.5,"TOTAL_ALL",0.846041958429817
2003,26316.25,27710.9,29888.75,31540.1989010569,14654.37,3304.63,3804.39875449846,1394.65,1651.4489010569,274.87,"TOTAL_ALL",0.880473422274267
2004,28392.38,29872.31,30974.69,32692.3768397577,15594.78,3556.07,3951.31071601696,1479.93,1717.68683975768,285.72,"TOTAL_ALL",0.916631611163825
2005,30650,32221.6,32100,33886.56,16600,3829.22,4103.80134304348,1571.6,1786.56,297,"TOTAL_ALL",0.954828660436137
