"year","K_net_cc","K_net_chain","K_net_hist","D_cc","IG_cc","asset","K_gross_cc","p_K_raw","p_K","K_net_real","IG_real","D_real","K_gross_real"
1929,160,4,100,6.08,7.3,"NRC",166.08,40,0.296296296296296,540,24.6375,20.52,560.52
1930,151.43,3.95,97.99,5.75,0.1,"NRC",157.18,38.3367088607595,0.283975621190811,533.25,0.352142904312224,20.2482169979529,553.498216997953
1931,143.32,3.9,96.02,5.45,0.1,"NRC",148.77,36.7487179487179,0.272212725546059,526.5,0.367359754395758,20.0211066145688,546.521106614569
1932,135.65,3.86,94.1,5.15,0.1,"NRC",140.8,35.1424870466321,0.260314718863942,521.1,0.384150387025433,19.7837449318098,540.88374493181
1933,128.38,3.81,92.21,4.88,0.1,"NRC",133.26,33.6955380577428,0.249596578205502,514.35,0.400646518149244,19.5515500856831,533.901550085683
1934,121.51,3.76,90.35,4.62,0.1,"NRC",126.13,32.3164893617021,0.239381402679275,507.6,0.4177433956053,19.2997448769649,526.899744876965
1935,115,3.72,88.54,4.37,0.1,"NRC",119.37,30.9139784946237,0.228992433293509,502.2,0.436695652173913,19.0836,521.2836
1936,115,3.67,86.76,4.37,4.37,"NRC",119.37,31.3351498637602,0.232112221213039,495.45,18.8271,18.8271,514.2771
1937,115,3.63,85.02,4.37,4.37,"NRC",119.37,31.6804407713499,0.234669931639629,490.05,18.6219,18.6219,508.6719
1938,115,3.59,83.31,4.37,4.37,"NRC",119.37,32.033426183844,0.237284638398845,484.65,18.4167,18.4167,503.0667
1939,115,3.54,81.64,4.37,4.37,"NRC",119.37,32.4858757062147,0.240636116342331,477.9,18.1602,18.1602,496.0602
1940,115,3.5,80,4.37,4.37,"NRC",119.37,32.8571428571429,0.243386243386243,472.5,17.955,17.955,490.455
1941,117.85,3.75,83.31,4.48,7.33,"NRC",122.33,31.4266666666667,0.23279012345679,506.25,31.4875901569792,19.2448027153161,525.494802715316
1942,120.78,4.02,86.76,4.59,7.52,"NRC",125.37,30.044776119403,0.222553897180763,542.7,33.7895678092399,20.624217585693,563.324217585693
1943,123.78,4.31,90.35,4.7,7.7,"NRC",128.48,28.7192575406033,0.212735241041506,581.85,36.1952253999031,22.093189529811,603.943189529811
1944,126.85,4.62,94.09,4.82,7.89,"NRC",131.67,27.45670995671,0.20338303671637,623.7,38.7937958218368,23.6991249507292,647.399124950729
1945,130,4.95,97.98,4.94,8.09,"NRC",134.94,26.2626262626263,0.19453797231575,668.25,41.5857115384615,25.3935,693.6435
1946,143.09,5.31,102.03,5.44,18.53,"NRC",148.53,26.9472693032015,0.199609402245937,716.85,92.8312984834719,27.2532252428541,744.103225242854
1947,157.49,5.69,106.26,5.98,20.38,"NRC",163.47,27.6783831282953,0.205025060209594,768.15,99.4024826973141,29.1671661692806,797.317166169281
1948,173.34,6.09,110.65,6.59,22.44,"NRC",179.93,28.4630541871921,0.210837438423645,822.15,106.432710280374,31.256308411215,853.406308411215
1949,190.79,6.53,115.23,7.25,24.7,"NRC",198.04,29.2174578866769,0.216425613975384,881.55,114.126972063525,33.4988075894963,915.048807589496
1950,210,7,120,7.98,27.19,"NRC",217.98,30,0.222222222222222,945,122.355,35.91,980.91
1951,227.01,7.39,127.5,8.63,25.64,"NRC",235.64,30.7185385656292,0.227544730115772,997.65,112.681141799921,37.9266089599577,1035.57660895996
1952,245.4,7.8,135.47,9.33,27.72,"NRC",254.73,31.4615384615385,0.233048433048433,1053,118.945232273839,40.0345965770171,1093.03459657702
1953,265.28,8.23,143.93,10.08,29.96,"NRC",275.36,32.2332928311057,0.238765132082264,1111.05,125.478958082027,42.2172195416164,1153.26721954162
1954,286.77,8.68,152.92,10.9,32.39,"NRC",297.67,33.0380184331797,0.244726062467998,1171.8,132.352066115702,44.5395961920703,1216.33959619207
1955,310,9.17,162.48,11.78,35.01,"NRC",321.78,33.8058887677208,0.250413990872006,1237.95,139.808482258064,47.0421,1284.9921
