"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_ALL_D_cc"
1925,40,140,100,2.5,180,280,282.5,46.2,145.32,102.8,3,191.52,294.32,297.32,8.06,6.92,3.64,0.65,14.98,18.62,19.27,6.2,5.32,2.8,0.5,11.52,14.32,14.82
1926,41.87,144.75,105.74,2.62,186.62,292.36,294.98,48.36,150.25,108.7,3.14,198.61,307.31,310.45,8.36,10.25,8.7,0.64,18.61,27.31,27.95,6.49,5.5,2.96,0.52,11.99,14.95,15.47
1927,43.82,149.67,111.8,2.74,193.49,305.29,308.03,50.61,155.36,114.93,3.29,205.97,320.9,324.19,8.74,10.6,9.2,0.67,19.34,28.54,29.21,6.79,5.69,3.13,0.55,12.48,15.61,16.16
1928,45.86,154.75,118.22,2.87,200.61,318.83,321.7,52.97,160.63,121.53,3.44,213.6,335.13,338.57,9.15,10.96,9.72,0.7,20.11,29.83,30.53,7.11,5.88,3.31,0.57,12.99,16.3,16.87
1929,48,160,125,3,208,333,336,55.44,166.08,128.5,3.6,221.52,350.02,353.62,8.93,7.3,4.2,0.72,16.23,20.43,21.15,7.44,6.08,3.5,0.6,13.52,17.02,17.62
1930,44.38,151.43,116.04,3.08,195.81,311.85,314.93,51.26,157.18,119.29,3.7,208.44,327.73,331.43,3.26,0.1,0.1,0.7,3.36,3.46,4.16,6.88,5.75,3.25,0.62,12.63,15.88,16.5
1931,41.04,143.32,107.72,3.16,184.36,292.08,295.24,47.4,148.77,110.74,3.79,196.17,306.91,310.7,3.02,0.1,0.1,0.71,3.12,3.22,3.93,6.36,5.45,3.02,0.63,11.81,14.83,15.46
1932,37.95,135.65,100,3.24,173.6,273.6,276.84,43.83,140.8,102.8,3.89,184.63,287.43,291.32,2.79,0.1,0.1,0.73,2.89,2.99,3.72,5.88,5.15,2.8,0.65,11.03,13.83,14.48
1933,35.09,128.38,92.83,3.33,163.47,256.3,259.63,40.53,133.26,95.43,4,173.79,269.22,273.22,2.58,0.1,0.1,0.76,2.68,2.78,3.54,5.44,4.88,2.6,0.67,10.32,12.92,13.59
1934,32.44,121.51,86.18,3.42,153.95,240.13,243.55,37.47,126.13,88.59,4.1,163.6,252.19,256.29,2.39,0.1,0.1,0.77,2.49,2.59,3.36,5.03,4.62,2.41,0.68,9.65,12.06,12.74
1935,30,115,80,3.51,145,225,228.51,34.65,119.37,82.24,4.21,154.02,236.26,240.47,2.21,0.1,0.1,0.79,2.31,2.41,3.2,4.65,4.37,2.24,0.7,9.02,11.26,11.96
1936,30.76,115,80.98,3.6,145.76,226.74,230.34,35.53,119.37,83.25,4.32,154.9,238.15,242.47,5.53,4.37,3.25,0.81,9.9,13.15,13.96,4.77,4.37,2.27,0.72,9.14,11.41,12.13
1937,31.54,115,81.96,3.7,146.54,228.5,232.2,36.43,119.37,84.25,4.44,155.8,240.05,244.49,5.67,4.37,3.28,0.84,10.04,13.32,14.16,4.89,4.37,2.29,0.74,9.26,11.55,12.29
1938,32.34,115,82.96,3.8,147.34,230.3,234.1,37.35,119.37,85.28,4.56,156.72,242,246.56,5.81,4.37,3.32,0.86,10.18,13.5,14.36,5.01,4.37,2.32,0.76,9.38,11.7,12.46
1939,33.16,115,83.98,3.9,148.16,232.14,236.04,38.3,119.37,86.33,4.68,157.67,244,248.68,5.96,4.37,3.36,0.88,10.33,13.69,14.57,5.14,4.37,2.35,0.78,9.51,11.86,12.64
