"year","ME_K_net_chain","NRC_K_net_chain","RC_K_net_chain","IP_K_net_chain","NR_K_net_chain","TOTAL_PRODUCTIVE_K_net_chain","TOTAL_ALL_K_net_chain"
1925,1,3.5,2,0.04,4.5,6.5,6.54
1926,1.05,3.62,2.11,0.04,4.67,6.78,6.82
1927,1.1,3.74,2.24,0.04,4.84,7.08,7.12
1928,1.15,3.87,2.36,0.05,5.02,7.38,7.43
1929,1.2,4,2.5,0.05,5.2,7.7,7.75
1930,1.19,3.95,2.48,0.05,5.14,7.62,7.67
1931,1.18,3.9,2.46,0.05,5.08,7.54,7.59
1932,1.17,3.86,2.44,0.05,5.03,7.47,7.52
1933,1.16,3.81,2.43,0.06,4.97,7.4,7.46
1934,1.15,3.76,2.41,0.06,4.91,7.32,7.38
1935,1.14,3.72,2.39,0.06,4.86,7.25,7.31
1936,1.14,3.67,2.37,0.06,4.81,7.18,7.24
1937,1.13,3.63,2.35,0.06,4.76,7.11,7.17
1938,1.12,3.59,2.34,0.07,4.71,7.05,7.12
1939,1.11,3.54,2.32,0.07,4.65,6.97,7.04
1940,1.1,3.5,2.3,0.07,4.6,6.9,6.97
1941,1.19,3.75,2.49,0.08,4.94,7.43,7.51
1942,1.3,4.02,2.69,0.08,5.32,8.01,8.09
1943,1.41,4.31,2.9,0.09,5.72,8.62,8.71
1944,1.53,4.62,3.14,0.09,6.15,9.29,9.38
1945,1.66,4.95,3.39,0.1,6.61,10,10.1
1946,1.8,5.31,3.66,0.11,7.11,10.77,10.88
1947,1.95,5.69,3.96,0.12,7.64,11.6,11.72
1948,2.12,6.09,4.28,0.13,8.21,12.49,12.62
1949,2.3,6.53,4.63,0.14,8.83,13.46,13.6
1950,2.5,7,5,0.15,9.5,14.5,14.65
1951,2.65,7.39,5.3,0.17,10.04,15.34,15.51
1952,2.81,7.8,5.62,0.19,10.61,16.23,16.42
1953,2.98,8.23,5.96,0.22,11.21,17.17,17.39
1954,3.16,8.68,6.33,0.24,11.84,18.17,18.41
1955,3.35,9.17,6.71,0.27,12.52,19.23,19.5
1956,3.56,9.67,7.11,0.31,13.23,20.34,20.65
1957,3.77,10.21,7.55,0.35,13.98,21.53,21.88
1958,4,10.77,8,0.39,14.77,22.77,23.16
1959,4.24,11.37,8.49,0.44,15.61,24.1,24.54
1960,4.5,12,9,0.5,16.5,25.5,26
1961,4.74,12.63,9.47,0.56,17.37,26.84,27.4
1962,4.98,13.29,9.97,0.62,18.27,28.24,28.86
1963,5.25,13.99,10.49,0.7,19.24,29.73,30.43
1964,5.52,14.72,11.04,0.78,20.24,31.28,32.06
1965,5.81,15.49,11.62,0.87,21.3,32.92,33.79
1966,6.11,16.3,12.23,0.97,22.41,34.64,35.61
1967,6.43,17.16,12.87,1.08,23.59,36.46,37.54
1968,6.77,18.06,13.54,1.2,24.83,38.37,39.57
1969,7.13,19,14.25,1.34,26.13,40.38,41.72
1970,7.5,20,15,1.5,27.5,42.5,44
1971,7.98,20.96,15.91,1.69,28.94,44.85,46.54
1972,8.5,21.97,16.87,1.91,30.47,47.34,49.25
1973,9.04,23.03,17.89,2.15,32.07,49.96,52.11
1974,9.63,24.14,18.98,2.43,33.77,52.75,55.18
1975,10.25,25.3,20.12,2.74,35.55,55.67,58.41
1976,10.91,26.52,21.34,3.09,37.43,58.77,61.86
1977,11.61,27.79,22.64,3.48,39.4,62.04,65.52
1978,12.36,29.13,24.01,3.93,41.49,65.5,69.43
1979,13.15,30.53,25.46,4.43,43.68,69.14,73.57
1980,14,32,27,5,46,73,78
1981,15.18,33.46,28.6,5.74,48.64,77.24,82.98
1982,16.47,34.99,30.29,6.6,51.46,81.75,88.35
1983,17.86,36.58,32.09,7.58,54.44,86.53,94.11
1984,19.36,38.25,33.99,8.71,57.61,91.6,100.31
1985,21,40,36,10,61,97,107
1986,22.55,42.15,38.13,11.25,64.7,102.83,114.08
1987,24.22,44.43,40.39,12.65,68.65,109.04,121.69
1988,26.01,46.82,42.78,14.23,72.83,115.61,129.84
1989,27.93,49.34,45.32,16,77.27,122.59,138.59
1990,30,52,48,18,82,130,148
1991,32.53,52.96,49.32,19.94,85.49,134.81,154.75
1992,35.28,53.95,50.69,22.08,89.23,139.92,162
1993,38.26,54.94,52.09,24.46,93.2,145.29,169.75
1994,41.49,55.96,53.52,27.09,97.45,150.97,178.06
1995,45,57,55,30,102,157,187
1996,48.43,58.52,56.87,33.23,106.95,163.82,197.05
1997,52.13,60.07,58.8,36.8,112.2,171,207.8
1998,56.11,61.67,60.8,40.76,117.78,178.58,219.34
1999,60.39,63.31,62.86,45.14,123.7,186.56,231.7
2000,65,65,65,50,130,195,245
2001,67.76,66.34,67.76,52.69,134.1,201.86,254.55
2002,70.63,67.71,70.63,55.53,138.34,208.97,264.5
2003,73.62,69.11,73.62,58.52,142.73,216.35,274.87
2004,76.75,70.54,76.75,61.68,147.29,224.04,285.72
2005,80,72,80,65,152,232,297
2006,81.54,73.16,80.4,67.41,154.7,235.1,302.51
2007,83.11,74.34,80.79,69.92,157.45,238.24,308.16
2008,84.71,75.54,81.19,72.51,160.25,241.44,313.95
2009,86.34,76.76,81.6,75.21,163.1,244.7,319.91
2010,88,78,82,78,166,248,326
2011,89.36,79.35,83.17,80.26,168.71,251.88,332.14
2012,90.74,80.73,84.35,82.6,171.47,255.82,338.42
2013,92.14,82.13,85.55,84.99,174.27,259.82,344.81
2014,93.56,83.55,86.77,87.46,177.11,263.88,351.34
2015,95,85,88,90,180,268,358
2016,97.47,92.2,93.81,94.87,189.67,283.48,378.35
2017,100,100,100,100,200,300,400
2018,103.85,101.64,102.6,105.67,205.49,308.09,413.76
2019,107.85,103.31,105.26,111.67,211.16,316.42,428.09
2020,112,105,108,118,217,325,443
2021,116.18,107.28,111.24,124.92,223.46,334.7,459.62
2022,120.51,109.62,114.57,132.25,230.13,344.7,476.95
2023,125,112,118,140,237,355,495
